Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TELA,"TELA Bio, Inc.",16.87,$192.45M,2019,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/tela
TNAV,"Telenav, Inc.",5.17,$244.48M,2010,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tnav
TLGT,"Teligent, Inc.",3.055,$16.47M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tlgt
TELL,Tellurian Inc.,1.32,$353.48M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tell
TENB,"Tenable Holdings, Inc.",29.38,$2.94B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/tenb
TENX,"Tenax Therapeutics, Inc.",1.1,$10.14M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/tenx
TZAC,Tenzing Acquisition Corp.,10.6,$81.29M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tzac
TZACU,Tenzing Acquisition Corp.,10.44,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tzacu
TZACW,Tenzing Acquisition Corp.,0.3799,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tzacw
TER,"Teradyne, Inc.",71.75,$11.89B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/ter
TERP,"TerraForm Power, Inc.",17.64,$4B,2014,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/terp
TBNK,Territorial Bancorp Inc.,24.14,$229.2M,2009,Finance,Savings Institutions,https://old.nasdaq.com/symbol/tbnk
TSLA,"Tesla, Inc. ",935.28,$173.47B,2010,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tsla
TESS,TESSCO Technologies Incorporated,5.73,$49.52M,1994,Technology,Electronic Components,https://old.nasdaq.com/symbol/tess
